id,user_id,product_id,order_date,status
1,1247,229,2023-09-27,completed
2,990,274,2023-10-06,placed
3,372,439,2023-05-23,placed
4,935,50,2023-11-27,placed
5,995,398,2023-11-20,completed
6,402,118,2024-02-18,placed
7,1467,202,2024-10-31,completed
8,1514,483,2025-03-05,placed
9,615,393,2024-05-11,placed
10,1297,483,2023-12-24,shipped
11,1550,395,2024-03-22,shipped
12,1183,191,2023-12-19,returned
13,1176,364,2023-12-21,returned
14,995,460,2025-02-13,placed
15,620,323,2023-11-10,return_pending
16,188,181,2024-05-17,completed
17,1837,423,2024-08-21,shipped
18,1122,78,2023-05-05,completed
19,131,440,2024-04-26,return_pending
20,805,412,2024-08-13,placed
21,1195,75,2024-07-07,placed
22,936,295,2024-10-26,shipped
23,986,281,2023-07-30,placed
24,183,21,2023-04-27,shipped
25,983,394,2023-08-07,completed
26,364,171,2024-10-14,completed
27,39,15,2024-02-04,shipped
28,1551,211,2024-04-14,shipped
29,1912,48,2024-10-23,completed
30,497,86,2024-04-22,shipped
31,1540,149,2024-12-29,completed
32,1373,188,2023-08-26,returned
33,982,372,2024-02-21,returned
34,921,492,2023-06-04,completed
35,1421,480,2024-03-31,shipped
36,722,306,2025-03-31,placed
37,1185,151,2023-11-19,completed
38,16,141,2024-08-16,returned
39,493,69,2025-02-24,placed
40,1450,260,2023-10-16,placed
41,1132,476,2023-10-27,completed
42,894,334,2024-09-12,placed
43,1474,456,2025-01-14,placed
44,311,9,2025-03-29,return_pending
45,739,121,2023-08-04,placed
46,1194,371,2023-08-05,placed
47,546,419,2023-12-09,completed
48,414,101,2023-05-15,completed
49,251,149,2024-03-15,shipped
50,759,442,2024-02-12,shipped
51,1805,146,2023-09-10,completed
52,1165,353,2024-11-24,completed
53,1298,456,2023-08-10,placed
54,1440,243,2024-03-26,placed
55,1632,241,2024-08-04,completed
56,1763,337,2023-10-01,completed
57,1915,43,2024-02-23,completed
58,1063,95,2023-11-17,completed
59,814,226,2025-01-19,completed
60,29,6,2023-10-21,placed
61,958,214,2023-07-03,completed
62,477,206,2024-01-23,completed
63,318,67,2024-12-31,completed
64,245,396,2024-07-28,shipped
65,748,100,2024-09-11,completed
66,697,12,2024-10-14,completed
67,272,237,2023-05-23,shipped
68,1464,322,2024-06-09,completed
69,1772,258,2024-10-13,completed
70,1263,399,2023-04-25,completed
71,377,407,2024-09-29,placed
72,266,413,2025-04-02,placed
